track_id,is_dev,target_id,method_id,metric_id,target,method,metric,score,title,genre,filename
31,0,1,0,2,bass,CHA,SDR,-3.46979309891211,Phre The Eon - Everybody's Falling Apart,Pop/Rock,31_CHA_bass.m4a
31,0,2,0,2,drums,CHA,SDR,4.476418091590816,Phre The Eon - Everybody's Falling Apart,Pop/Rock,31_CHA_drums.m4a
31,0,3,0,2,other,CHA,SDR,0.03018711584237193,Phre The Eon - Everybody's Falling Apart,Pop/Rock,31_CHA_other.m4a
31,0,4,0,2,vocals,CHA,SDR,-2.281956244770426,Phre The Eon - Everybody's Falling Apart,Pop/Rock,31_CHA_vocals.m4a
32,0,0,0,2,accompaniment,CHA,SDR,2.4789352985852013,Raft Monk - Tiring,Pop/Rock,32_CHA_accompaniment.m4a
32,0,1,0,2,bass,CHA,SDR,0.8805594185567835,Raft Monk - Tiring,Pop/Rock,32_CHA_bass.m4a
32,0,2,0,2,drums,CHA,SDR,1.150202496824796,Raft Monk - Tiring,Pop/Rock,32_CHA_drums.m4a
32,0,3,0,2,other,CHA,SDR,0.14201371744057928,Raft Monk - Tiring,Pop/Rock,32_CHA_other.m4a
32,0,4,0,2,vocals,CHA,SDR,0.7872648485256342,Raft Monk - Tiring,Pop/Rock,32_CHA_vocals.m4a
33,0,0,0,2,accompaniment,CHA,SDR,3.3968191269586265,Sambasevam Shanmugam - Kaathaadi,Pop/Rock,33_CHA_accompaniment.m4a
33,0,1,0,2,bass,CHA,SDR,3.5096364371091666,Sambasevam Shanmugam - Kaathaadi,Pop/Rock,33_CHA_bass.m4a
33,0,2,0,2,drums,CHA,SDR,-3.789946435358575,Sambasevam Shanmugam - Kaathaadi,Pop/Rock,33_CHA_drums.m4a
33,0,3,0,2,other,CHA,SDR,0.0256391169764964,Sambasevam Shanmugam - Kaathaadi,Pop/Rock,33_CHA_other.m4a
33,0,4,0,2,vocals,CHA,SDR,0.3866693038038524,Sambasevam Shanmugam - Kaathaadi,Pop/Rock,33_CHA_vocals.m4a
34,0,0,0,2,accompaniment,CHA,SDR,4.760375565722743,Secretariat - Over The Top,Pop/Rock,34_CHA_accompaniment.m4a
34,0,1,0,2,bass,CHA,SDR,2.9884491954994794,Secretariat - Over The Top,Pop/Rock,34_CHA_bass.m4a
34,0,2,0,2,drums,CHA,SDR,1.3916191311766057,Secretariat - Over The Top,Pop/Rock,34_CHA_drums.m4a
34,0,3,0,2,other,CHA,SDR,1.8715503697637723,Secretariat - Over The Top,Pop/Rock,34_CHA_other.m4a
34,0,4,0,2,vocals,CHA,SDR,0.5966440971113044,Secretariat - Over The Top,Pop/Rock,34_CHA_vocals.m4a
35,0,0,0,2,accompaniment,CHA,SDR,2.9789981384766886,Signe Jakobsen - What Have You Done To Me,Pop/Rock,35_CHA_accompaniment.m4a
35,0,1,0,2,bass,CHA,SDR,-2.231487667046607,Signe Jakobsen - What Have You Done To Me,Pop/Rock,35_CHA_bass.m4a
35,0,2,0,2,drums,CHA,SDR,0.9567082424059098,Signe Jakobsen - What Have You Done To Me,Pop/Rock,35_CHA_drums.m4a
35,0,3,0,2,other,CHA,SDR,0.9329293526988278,Signe Jakobsen - What Have You Done To Me,Pop/Rock,35_CHA_other.m4a
35,0,4,0,2,vocals,CHA,SDR,3.633442776965024,Signe Jakobsen - What Have You Done To Me,Pop/Rock,35_CHA_vocals.m4a
38,0,0,0,2,accompaniment,CHA,SDR,5.2213250673248,Spike Mullings - Mike's Sulking,Pop/Rock,38_CHA_accompaniment.m4a
38,0,1,0,2,bass,CHA,SDR,-0.6676960103699935,Spike Mullings - Mike's Sulking,Pop/Rock,38_CHA_bass.m4a
